0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 0
0 4654884
0 4654884
69074 -8371787
138141 -8355001
207218 -8338261
276283 -8321434
345357 -8304647
414421 -8287831
483492 -8271044
552564 -8254260
621636 -8237463
690705 -8220667
759771 -8203861
828843 -8187075
897914 -8170288
966985 -8153492
1036057 -8136701
1105124 -8119899
1174195 -8103110
1243264 -8086317
1312337 -8069526
1381406 -8052728
1450475 -8035933
1519544 -8019138
1588616 -8002347
1657687 -7985553
1726755 -7968756
1795826 -7951964
1864893 -7935165
1933967 -7918376
2003034 -7901579
2072105 -7884788
2141177 -7867993
2210247 -7851201
2279317 -7834407
2348387 -7817611
2417460 -7800817
2486526 -7784023
2555598 -7767233
2624666 -7750436
2693736 -7733641
2762807 -7716846
2831877 -7700053
2900949 -7683261
2970018 -7666466
3039089 -7649671
3108156 -7632874
3177228 -7616082
3246298 -7599290
3315367 -7582495
3384437 -7565701
3453509 -7548908
3522578 -7532111
3591650 -7515320
3660722 -7498527
3729791 -7481732
3798860 -7464938
3867931 -7448143
3937003 -7431352
4006072 -7414556
4075141 -7397762
4144209 -7380967
4213281 -7364173
4282351 -7347380
4351421 -7330586
4420491 -7313791
4489559 -7296997
4558634 -7280206
4627702 -7263410
4696771 -7246615
4765841 -7229822
4834911 -7213025
4903984 -7196235
4973052 -7179439
5042123 -7162646
5111190 -7145851
5180262 -7129057
5249332 -7112264
5318402 -7095469
5387471 -7078675
5456542 -7061880
5525613 -7045087
5594683 -7028293
5663753 -7011499
5732822 -6994704
5801894 -6977912
5870964 -6961117
5940033 -6944323
6009102 -6927529
6078172 -6910733
6147243 -6893940
6216313 -6877146
6285386 -6860355
6354457 -6843559
6423524 -6826763
6492594 -6809970
6561667 -6793179
6630736 -6776384
6699804 -6759588
6768876 -6742795
6837944 -6725999
0 4654884
69071 -6692383
138142 -6675596
207211 -6658810
276283 -6642034
345357 -6625243
414422 -6608437
483495 -6591650
552562 -6574849
621634 -6558063
690705 -6541271
759773 -6524470
828844 -6507678
897917 -6490888
966987 -6474090
1036054 -6457300
1105123 -6440497
1174194 -6423705
1243262 -6406912
1312335 -6390117
1381407 -6373328
1450473 -6356527
1519546 -6339738
1588616 -6322942
1657686 -6306148
1726759 -6289362
1795827 -6272565
1864897 -6255771
1933965 -6238974
2003035 -6222177
2072108 -6205391
2141177 -6188595
2210248 -6171799
2279316 -6155004
2348387 -6138212
2417458 -6121420
2486529 -6104625
2555600 -6087828
2624668 -6071033
2693737 -6054241
2762808 -6037448
2831879 -6020654
